name
挑拨
批判
试射
击沉
激战
恐吓
勘探
抓捕
侵占
解除
反驳
抓扣
对峙
创设
报复
派驻
控告
窃取
演练
巡航
剔除
预演
质疑
自卫
转让
占据
入侵
支持
勘察
协助
运载
谴责
扣押
抢占
设立
收回
抵制
坚称
划归
清算
出资
干涉
战斗
强占
修建
攻击
防御
考察
改称
捣毁
指控
审理
遏制
驳斥
收复
冻结
篡改
宣称
疑惧
闯进
恫吓
改造
援助
叛乱
驾驶
驻扎
继承
裁决
侵害
阻碍
追认
围堵
筹备
否认
占有
宣读
宣布
恢复
裁定
驶入
袭击
考查
侵扰
争夺
威慑
指责
裁判
谅解
开火
胁迫
作战
进攻
擅入
防卫
毙伤
阻挠
协定
骚扰
吓退
标示
打击
拦截
夺取
劫走
执法
对抗
驱动
建制
打压
探勘
反潜
制止
租用
退回
测绘
飞越
巡逻
划为
掠夺
管束
摧毁
救助
监管
搜寻
检阅
支援
求援
定名
援引
飞行
牺牲
赶走
钻采
研判
审议
钻探
开发
考证
测土
驶至
保卫
损害
妥协
购置
泄露
抵御
施压
参战
制衡
互助
测量
驱逐
调查
仲裁
归还
驳回
驱离
击伤
澄清
闯入
扣留
驻守
判定
阻截
侵略
起飞
磋商
破坏
怀疑
夺回
巡视
装配
捍卫
签署
合作
扣捕
阻止
觊觎
抨击
挑衅
运送
侦察
建立
划定
摒弃
租给
逼停
捕捞
救援
宣示
维护
突击
驻防
交战
进犯
侵入
进驻
撤出
搜救
围攻
突袭
宣扬
驱使
干预
经营
批评
勘测
探测
协作
占领
侵犯
建造
生产
巩固
不支持
不妥协
