cout,loc,type
323,《立足于实力的合作:美国、中国和南海》,证据源形式
626,东盟外长会议,证据源形式
91,东盟地区论坛,证据源形式
877,《吉隆坡安全评论》,证据源形式
257,南海问题不应国际化,证据源形式
205,《南海地区行为宣言》,证据源形式
52,大西洋理事会,证据源形式
892,《中华人民共和国领海及毗连区法》,证据源形式
392,第七届东盟地区论坛,证据源形式
837,《中国地名委员会受权公布的南海诸岛部分标准地名》,证据源形式
740,美菲共同防御委员会”会议,证据源形式
282,美菲“2+2”部长会谈,证据源形式
657,《人民日报》,证据源形式
278,联合公报,证据源形式
886,中越解决南海争端指导原则协议,证据源形式
881,《宣言》,证据源形式
67,联合声明,证据源形式
776,《南海各方行为准则》,证据源形式
611,《东盟宪章》,证据源形式
598,《南海各方行为宣言》,证据源形式
229,《美菲共同防御条约》,证据源形式
105,外大陆架划界申请案,证据源形式
185,国家安全会议,证据源形式
108,《公约》,证据源形式
266,东盟与中国磋商会议,证据源形式
664,《中华人民共和国边界地图集》,证据源形式
225,海事磋商会议,证据源形式
557,东盟高峰会,证据源形式
824,外大陆架联合提案,证据源形式
600,联合公报,证据源形式
303,《亚洲航海》,证据源形式
638,《开展预防性外交防止南海争端升级的特别报告》,证据源形式
814,年度部长级会议,证据源形式
622,《南海行为准则》,证据源形式
593,雅加达东盟外长会议,证据源形式
8,东盟地区论坛,证据源形式
835,《东盟关于南中国海问题的宣言》,证据源形式
475,《联合国海洋法公约》,证据源形式
371,东盟六国外长会议,证据源形式
61,《南海各方行为宣言》,证据源形式
915,《菲律宾商报》,证据源形式
514,《中华人民共和国领海及毗连区法》,证据源形式
177,东盟对南海“六点原则(six,pointprinciples)”的声明,证据源形式
606,《南海各方行为宣言》,证据源形式
177,第45届东盟外长会议,证据源形式
596,联合公报,证据源形式
213,海事专家开会,证据源形式
599,东盟地区论坛,证据源形式
916,《领海基线法案》,证据源形式
150,“领海基线法案”,证据源形式
731,中美关系及东亚主权与海洋争议问题的听证会,证据源形式
109,照会,证据源形式
483,联合声明,证据源形式
552,《朝日新闻》,证据源形式
706,《21世纪经济报道》,证据源形式
181,《南海诸岛位置图》,证据源形式
402,联合声明,证据源形式
127,《开罗宣言》,证据源形式
391,第15次东盟与美国的对话,证据源形式
776,东盟首脑会议,证据源形式
416,《立场文件》,证据源形式
496,第43届东盟外长会议,证据源形式
208,美国—东盟峰会,证据源形式
718,《宣言》,证据源形式
817,联合声明,证据源形式
635,《东亚战略报告》,证据源形式
89,《南海各方行为宣言》,证据源形式
97,“河内行动计划”,证据源形式
626,联合公报,证据源形式
236,《南沙群岛与南海政策声明》,证据源形式
63,《南海各方行为宣言》,证据源形式
102,标有南海断续线的地图,证据源形式
242,《南海各方行为准则》,证据源形式
307,《关于21世纪双边合作框架的联合声明》,证据源形式
590,《关于南中国海问题的东盟宣言》,证据源形式
116,南海断续线附图,证据源形式
849,《公约》,证据源形式
746,《专属经济区与毗连区法》,证据源形式
738,越南河内出席东盟系列峰会,证据源形式
829,《波茨坦公告》,证据源形式
176,《南海各方行为宣言》,证据源形式
297,《南海各方行为宣言》,证据源形式
611,《东南亚友好合作条约组织》,证据源形式
530,联合声明,证据源形式
400,第43届东盟外长会议,证据源形式
188,第1596号总统法令,证据源形式
388,众议院国际关系委员会东亚和太平洋事务小组委员会举行的听证会,证据源形式
262,《南海各方行为宣言》,证据源形式
641,东盟会议,证据源形式
291,《联合国海洋法公约》,证据源形式
98,《南海各方行为宣言》,证据源形式
849,关于沿海管辖和主权的新地图,证据源形式
78,《雅加达邮报》,证据源形式
746,美国参议院外交委员会,证据源形式
90,《宣言》,证据源形式
140,联合声明,证据源形式
826,《中国南海岛屿图》,证据源形式
624,外长会议,证据源形式
268,《联合国海洋法公约》,证据源形式
531,第一次东盟国防部长扩大会议,证据源形式
607,《联合公报》,证据源形式
747,东盟外长扩大会议,证据源形式
543,《南海九条断续线图》,证据源形式
308,《关于南海问题和其他领域合作的磋商联合声明》,证据源形式
607,东盟峰会,证据源形式
842,声明,证据源形式
435,《联合国海洋法公约》,证据源形式
230,《美菲共同防御条约》,证据源形式
611,《东盟南海宣言》,证据源形式
210,《南海各方行为准则》,证据源形式
844,“菲律宾对黄岩岛及其附近海域的立场”,证据源形式
201,《南海诸岛位置图》,证据源形式
435,《南海各方行为宣言》,证据源形式
40,“2+2”年度会谈,证据源形式
929,《远东日报评论》,证据源形式
325,《吉隆坡安全评论》,证据源形式
93,《东南亚友好合作条约》,证据源形式
429,《南海各方行为宣言》,证据源形式
819,《中国南海岛屿图》,证据源形式
231,《美菲共同防御条约》,证据源形式
542,《国务院关于推进海南国际旅游岛建设发展的若干意见》,证据源形式
706,《新民晚报》,证据源形式
846,大陆架图,证据源形式
761,参议院听证会,证据源形式
773,东盟地区论坛,证据源形式
147,《旧金山合约》,证据源形式
118,东盟地区论坛,证据源形式
295,《关于菲律宾共和国单方面提起的南海仲裁案的声明》,证据源形式
343,《大清天下中华名省府州县厅地理全图》,证据源形式
307,《联合新闻公报》,证据源形式
211,东盟峰会,证据源形式
311,《宣言》,证据源形式
436,联合声明,证据源形式
19,“香格里拉安全对话”会,证据源形式
68,联合公报,证据源形式
299,《中华人民共和国和菲律宾共和国关于南海问题和其他领域合作的磋商联合声明》,证据源形式
498,美国,东盟领导人会议,证据源形式
469,第六次东盟峰会,证据源形式
304,《中国海目录》,证据源形式
595,落实《南海各方行为宣言》高官会,证据源形式
96,《东盟南海宣言》,证据源形式
249,南海地区行为准则,证据源形式
889,2699号法案（“关于领海基点问题的法案”）,证据源形式
344,《中国南海各岛屿图》,证据源形式
816,东盟地区论坛,证据源形式
170,东盟峰会,证据源形式
898,官方地图,证据源形式
523,《南海渔业合作协定》,证据源形式
468,联合声明,证据源形式
387,《联合国海洋法公约》,证据源形式
718,《南中国海各方行为宣言》,证据源形式
177,联合声明,证据源形式
592,《马尼拉宣言》,证据源形式
596,东盟外长会议,证据源形式
59,"南中国海合作前景一聚焦问题和动力""国际研讨会",证据源形式
725,《南沙群岛与南海政策声明》,证据源形式
758,华盛顿的讲话,证据源形式
43,联合公报,证据源形式
74,中国一东盟联合工作组会议,证据源形式
767,东盟系列国际会议,证据源形式
618,《南海问题：预防外交的前景》,证据源形式
227,美军参谋长联席会议,证据源形式
218,决议案,证据源形式
121,《东南亚友好合作条约》,证据源形式
68,东盟国防部长会议,证据源形式
590,《马尼拉宣言》,证据源形式
671,《领海基线法》,证据源形式
175,会谈,证据源形式
130,《宣言》,证据源形式
288,《远东经济评论》,证据源形式
498,联合声明,证据源形式
843,第1596号和1599号总统令,证据源形式
743,支持东盟所主导的系列会议,证据源形式
65,东盟峰会,证据源形式
90,《南海地区行为准则》,证据源形式
747,东盟会议,证据源形式
706,《解放日报》,证据源形式
132,“领海基线法”,证据源形式
272,《南海各方行为宣言》,证据源形式
138,《联合国宪章》,证据源形式
547,《南海地区行为准则》,证据源形式
121,《联合国宪章》,证据源形式
37,联合声明,证据源形式
316,《宣言》,证据源形式
176,《宣言》,证据源形式
706,《环球时报》,证据源形式
547,第二届美国与东盟领导人会议,证据源形式
488,东盟地区论坛,证据源形式
310,《公约》,证据源形式
927,《南海各方行为宣言》,证据源形式
250,《行为宣言》,证据源形式
101,《联合国海洋法公约》,证据源形式
578,《南海政策纲领》,证据源形式
608,《联合公报》,证据源形式
394,《东南亚友好合作条约》,证据源形式
450,河内讲话,证据源形式
534,第十七届东盟地区论坛,证据源形式
790,美国“自由航行年度报告”,证据源形式
